runid,MASE,sMAPE,RMSE,NRMSE,wQuantileLoss[0.5],wQuantileLoss[0.9],mean_wQuantileLoss
log-deepAR-laptime-all-indy-f1min-t10-e1000-r1_deepar_t10,4.495082264533263,0.2192691198486142,24.463867494100647,0.4353632646522235,0.25038347627771257,0.2784886791395586,0.2050433943817863
log-deepAR-laptime-all-indy-f1min-t20-e1000-r1_deepar_t20,3.119628886616343,0.2366187008609219,24.780933798251898,0.4429847475670494,0.2620764078462646,0.29229612973282376,0.2116127324622982
log-deepAR-laptime-all-indy-f1min-t2-e1000-r1_deepar_t2,2.7352636976985063,0.12991091564461435,16.878493503452066,0.30757853416949354,0.15873503658645574,0.1404950516788976,0.12345415196398908
log-deepAR-laptime-all-indy-f1min-t30-e1000-r1_deepar_t30,2.3985732370947304,0.2125571600033074,23.841346443504754,0.44430391532148095,0.2420749576991217,0.3099649429609884,0.2075514266932684
log-deepAR-laptime-all-indy-f1min-t5-e1000-r1_deepar_t5,3.679828997147656,0.17223785669952538,20.948666975413307,0.3811616943650861,0.20463365894856905,0.21111868257758612,0.1614345033763324
log-deepAR-Oracle-laptime-all-indy-f1min-t10-e1000-r1_oracle_t10,2.2138758623892576,0.09898171039350384,12.580947985656149,0.2238927507588855,0.12172267565576207,0.0820793875581803,0.0836373435135309
log-deepAR-Oracle-laptime-all-indy-f1min-t20-e1000-r1_oracle_t20,1.3506593719088629,0.09518291748005747,11.245773465344293,0.20102979816253674,0.11261134709817495,0.08922296232825308,0.08158428872371737
log-deepAR-Oracle-laptime-all-indy-f1min-t2-e1000-r1_oracle_t2,1.4955983278708893,0.06788475192234031,10.343934399350287,0.1884985872374719,0.09047627930024492,0.07407664023494627,0.0666279957761014
log-deepAR-Oracle-laptime-all-indy-f1min-t30-e1000-r1_oracle_t30,0.8880961440188475,0.08101861423278374,8.536410664360218,0.15908332568190905,0.093979996441163,0.052912715091935576,0.06445071610272038
log-deepAR-Oracle-laptime-all-indy-f1min-t5-e1000-r1_oracle_t5,1.92271222740178,0.08869826141105064,11.762356717281149,0.21401647280695196,0.11152509662958417,0.10980845863380008,0.08647499795094876
log-deepAR-Oracle-laptime-curtrack-indy-f1min-t10-e1000-r1_curtrack_t10,4.291731716115473,0.2029356917891216,23.25145462811168,0.41378695323823295,0.2366181581358061,0.2883774162460592,0.20747708369844156
log-deepAR-Oracle-laptime-curtrack-indy-f1min-t20-e1000-r1_curtrack_t20,2.9948849547382395,0.2289569312371144,22.208777126223836,0.3970047944572263,0.26159684974244385,0.2514708930673604,0.2156856844555111
log-deepAR-Oracle-laptime-curtrack-indy-f1min-t2-e1000-r1_curtrack_t2,2.3354767130931546,0.1046407970800217,14.097337894913194,0.25689724764373234,0.13167082089285825,0.13937052801088298,0.10860080936439603
log-deepAR-Oracle-laptime-curtrack-indy-f1min-t30-e1000-r1_curtrack_t30,2.4599514023222366,0.2180274745921102,23.236343839672514,0.4330291735069057,0.25483876688179885,0.2683728427095771,0.2298187653446847
log-deepAR-Oracle-laptime-curtrack-indy-f1min-t5-e1000-r1_curtrack_t5,3.2357156735475234,0.15788729934354734,19.989705933310738,0.3637133662176713,0.1887839180533102,0.24637607154004995,0.17033347128062115
log-deepAR-Oracle-laptime-nolap-zerotrack-indy-f1min-t10-e1000-r1_zerotrack_t10,4.768553146912363,0.240443871368865,27.55584983894132,0.4903887232483137,0.2704138808919009,0.4216765561320168,0.2529708676951181
log-deepAR-Oracle-laptime-nolap-zerotrack-indy-f1min-t20-e1000-r1_zerotrack_t20,3.1593754445954327,0.224999005468228,26.230655617706894,0.4689000201496758,0.2573341347004739,0.40522266730461215,0.2422762714509853
log-deepAR-Oracle-laptime-nolap-zerotrack-indy-f1min-t2-e1000-r1_zerotrack_t2,3.082335062722375,0.16473430529695207,21.980559689913573,0.4005540143891359,0.19847280531480244,0.2463762087913517,0.16849993525171605
log-deepAR-Oracle-laptime-nolap-zerotrack-indy-f1min-t30-e1000-r1_zerotrack_t30,2.3192038511411788,0.19942028179886875,24.18877303212964,0.4507785074330719,0.23387113206892385,0.36162219558295006,0.21817607901106392
log-deepAR-Oracle-laptime-nolap-zerotrack-indy-f1min-t5-e1000-r1_zerotrack_t5,3.822972150260657,0.1924971562177723,24.270186387141504,0.4415968508514985,0.22621341095633854,0.3201342339823581,0.2020530948456365
log-naive-laptime-all-indy-f1min-t10-e1000-r1_naive_t10,4.775982617339381,0.22083149517137474,26.36905645249237,0.469268340573061,0.2713163139615851,0.2716768839646066,0.2713163139615851
log-naive-laptime-all-indy-f1min-t20-e1000-r1_naive_t20,4.132272966952393,0.28974816231107403,32.16517383640693,0.5749856534210231,0.3682643284661222,0.2441299995800645,0.3682643284661222
log-naive-laptime-all-indy-f1min-t2-e1000-r1_naive_t2,2.639947597029227,0.12928716937114404,17.58621261179144,0.3204753727352248,0.16432861550017527,0.16444783225003154,0.16432861550017527
log-naive-laptime-all-indy-f1min-t30-e1000-r1_naive_t30,2.5297451047786352,0.22235356711352927,23.258840884105005,0.43344842520261867,0.26286882377780835,0.2911060381167414,0.26286882377780835
log-naive-laptime-all-indy-f1min-t5-e1000-r1_naive_t5,3.911516423349601,0.1883847632766341,24.072213471790338,0.4379947270532535,0.24005074844392935,0.2348273732345789,0.24005074844392935
