,completed_laps,track_status
2,0,G
37,1,G
148,2,G
231,3,G
311,4,G
393,5,G
474,6,G
558,7,G
644,8,G
729,9,G
815,10,G
903,11,G
991,12,G
1076,13,G
1165,14,G
1254,15,G
1344,16,G
1435,17,G
1523,18,G
1612,19,G
1702,20,G
1792,21,G
1881,22,G
1973,23,G
2063,24,G
2153,25,G
2242,26,G
2332,27,G
2424,28,G
2516,29,G
2610,30,G
2700,31,G
2836,32,G
3094,33,G
3219,34,G
3368,35,G
3491,36,G
3595,37,G
3683,38,G
3775,39,G
3865,40,G
3958,41,G
4049,42,G
4141,43,G
4235,44,G
4325,45,G
4418,46,G
4509,47,G
4611,48,Y
4708,49,Y
4801,50,Y
4902,51,Y
4995,52,Y
5080,53,Y
5175,54,Y
5265,55,G
5335,56,G
5422,57,G
5505,58,Y
5600,59,Y
5691,60,Y
5789,61,Y
5880,62,Y
5930,63,G
6026,64,G
6104,65,G
6180,66,G
6260,67,G
6340,68,Y
6442,69,Y
6528,70,Y
6648,71,Y
6753,72,Y
6807,73,G
6872,74,G
6948,75,G
7025,76,G
7134,77,G
7211,78,G
7293,79,G
7374,80,G
7456,81,G
7539,82,G
7624,83,G
7708,84,G
7791,85,G
7873,86,G
7956,87,G
8037,88,G
8120,89,G
8182,90,G
8289,91,G
8363,92,G
8460,93,G
8594,94,G
8810,95,G
8921,96,G
9038,97,G
9127,98,G
9217,99,G
9310,100,G
9396,101,G
9498,102,G
9594,103,G
9692,104,G
9785,105,G
9863,106,G
9984,107,G
10057,108,G
10149,109,G
10245,110,G
10332,111,G
10413,112,G
10497,113,G
10580,114,G
10664,115,G
10749,116,G
10836,117,G
10921,118,G
11008,119,G
11093,120,G
11180,121,G
11272,122,G
11360,123,G
11448,124,G
11534,125,G
11628,126,G
11720,127,G
11817,128,G
11961,129,G
12115,130,G
12211,131,G
12329,132,G
12427,133,G
12513,134,G
12604,135,G
12698,136,G
12797,137,G
12883,138,G
13012,139,Y
13113,140,Y
13171,141,Y
13282,142,Y
13393,143,Y
13482,144,Y
13573,145,G
13640,146,Y
13746,147,Y
13843,148,Y
13930,149,Y
14020,150,Y
14110,151,Y
14200,152,Y
14289,153,G
14362,154,Y
14460,155,Y
14564,156,Y
14662,157,Y
14765,158,Y
14865,159,Y
14951,160,Y
15046,161,G
15122,162,G
15206,163,G
15281,164,G
15355,165,G
15432,166,G
15512,167,G
15592,168,G
15684,169,G
15765,170,G
15912,171,G
16054,172,G
16145,173,G
16240,174,G
16325,175,G
16404,176,G
16488,177,G
16577,178,G
16658,179,G
16745,180,G
16832,181,G
16922,182,G
17006,183,G
17088,184,G
17171,185,G
17255,186,G
17336,187,G
17414,188,Y
17510,189,Y
17612,190,Y
17703,191,Y
17797,192,Y
17852,193,G
17947,194,G
18018,195,G
18067,196,G
18164,197,G
18255,198,G
18338,199,G
18419,200,K
